wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes
wine_01gzr4kspp5ck3gwm5w4617e7m,154.0,BOTTLE,2020.0,7900,0.0,,,2.0,
wine_01gzr4kspp5ck3gwm5w4617e7m,154.0,BOTTLE,2021.0,7900,0.0,,,9.0,
wine_01gzr4ksd3m8y62ggabzd1kdmg,155.0,BOTTLE,2016.0,25000,0.0,,,5.0,
wine_01gzr4ksppdm8hwsp2wvphad1q,156.0,BOTTLE,2016.0,29000,0.0,,,5.0,
wine_01gzr4ksg38xhhverb8hjn93qb,157.0,BOTTLE,2012.0,11800,0.0,,,2.0,
wine_01gzr4ksg38xhhverb8hjn93qb,157.0,BOTTLE,2015.0,11800,0.0,,,5.0,
wine_01gzr4ksmnpz53trpyg2j9wbsn,158.0,MAGNUM,2019.0,7100,0.0,,,3.0,
wine_01gzr4ksmnpz53trpyg2j9wbsn,158.0,JEROBOAM,2019.0,23000,0.0,,,1.0,
wine_01gzr4ksmnpz53trpyg2j9wbsn,158.0,MATHUSALEM,2019.0,29000,0.0,,,1.0,
wine_01gzr4kthqgny88c4v2vf0vw05,161.0,BOTTLE,2021.0,3800,0.0,,,6.0,
wine_01gzr4kt852mghyjybtvaxx7p0,162.0,BOTTLE,2020.0,4200,0.0,,,6.0,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163.0,BOTTLE,2020.0,29000,0.0,,,2.0,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163.0,BOTTLE,2019.0,30000,0.0,,,5.0,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163.0,BOTTLE,2018.0,31000,0.0,,,6.0,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163.0,BOTTLE,2017.0,32000,0.0,,,5.0,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163.0,BOTTLE,2016.0,39000,0.0,,,2.0,
wine_01gzr4ksd13hpy7q0n03dkf2wb,163.0,BOTTLE,2012.0,40000,0.0,,,1.0,
