external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
135,RED,“Saperaia” Kellerei Meran sehr “limitiert” ,,,BOTTLE,0,7000,0.0,0.0,,
136,RED,Spätburgunder „N°2“ Weingut Adenauer Ahrweiler Deutschland ,,,BOTTLE,0,4300,0.0,0.0,,
137,RED,Spätburgunder „Kleine Kammer“ Weingut Adenauer Ahrweiler Deutschland,," + 0,75 l - 63 €",BOTTLE,0,6300,0.0,0.0,,
138,RED,Spätburgunder „Rosenthal“ Weingut Adenauer Ahrweiler Deutschland,," + 0,75 l - 83 €",BOTTLE,0,8300,0.0,0.0,,
139,RED,RIPASSA - ZENATO ,,,BOTTLE,0,3700,0.0,0.0,,
140,RED,CHIANTI NOZZOLE - FOLONARI ,,,BOTTLE,0,3000,0.0,0.0,,
141,RED,Chianti Classico Riserva Antinori ,,,BOTTLE,0,3700,0.0,0.0,,
142,RED,Lodai Kellerei Fertuna toscana ,,,BOTTLE,0,3600,0.0,0.0,,
143,RED,Le Difese San Guido ,,,BOTTLE,0,4800,0.0,0.0,,
144,RED,GUIDALBERTO SAN Guido ,,,BOTTLE,0,7800,0.0,0.0,,
144,RED,GUIDALBERTO SAN Guido ,,,MAGNUM,0,7800,0.0,0.0,,
145,RED,BRUNELLO DI MONTALCINO - COLLOSORBO ,,,BOTTLE,0,5800,0.0,0.0,,
146,RED,Brunello di Montalcino „La Casa Caparzo” ,,"James Suckling 97 Punkte , Robert Parker 93 Punkte",BOTTLE,0,10000,0.0,0.0,,
147,RED,Brunello di M. Casanova di Neri Tenuta Nuova ,,"James Suckling 99/100 , Robert Parker 98/100",BOTTLE,0,13000,0.0,0.0,,
148,RED,Brunello Di Montalcino Talenti ‘Piero’ ,," James Suckling 100 Punkte, Falstaff 99 Punkte",BOTTLE,0,15000,0.0,0.0,,
149,RED,“TESTAMATTA” BIBI GRAETZ (Robert Parker 96 Punkte) ,,Robert Parker 96 Punkte,BOTTLE,0,10900,0.0,0.0,,
150,RED,“TIGNANELLO” - Tignanello - ANTINOri ,,,BOTTLE,0,11800,0.0,0.0,,
150,RED,“TIGNANELLO” - Tignanello - ANTINOri ,,,MAGNUM,0,11800,0.0,0.0,,
151,RED,“Luce” Tenuta Luce (James Suckling 99 Punkte) ,,James Suckling 99 Punkte,BOTTLE,0,15800,0.0,0.0,,
