ok,external_id,type,name,winery_name,storage_area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,96,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,,MAGNUM,2008,1250,125000,0,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,42.366817
TRUE,97,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,,BOTTLE,2008,490,49000,0,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,42.366817
TRUE,97,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,,BOTTLE,2012,490,49000,0,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,42.366817
TRUE,98,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,,BOTTLE,2013,390,39000,0,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,42.366817
TRUE,98,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,,BOTTLE,2014,390,39000,0,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,42.366817
TRUE,98,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,,BOTTLE,2015,390,39000,0,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,,42.366817
FALSE,99,SPARKLING,CRISTAL BRUT,ROSE’,,BOTTLE,2013,880,88000,0,,,Brut,Sainte Rose,wine_01h4pmmfdr7azrngvvz5zen83r,,18.792099
FALSE,100,SPARKLING,BRUT KRUG GRANDE CUVEE,KRUG,,BOTTLE,,360,36000,0,,,Grande Cuvée,Krug,wine_01gzr4ks7h5x1nhhc1jnbgbg29,,29.567274
FALSE,101,SPARKLING,BRUT KRUG GRANDE CUVEE,KRUG,,MAGNUM,,1100,110000,0,,,Grande Cuvée,Krug,wine_01gzr4ks7h5x1nhhc1jnbgbg29,,29.567274
TRUE,102,SPARKLING,KRUG VINTAGE,KRUG,,BOTTLE,2008,960,96000,0,,,Vintage,Krug,wine_01gzr4ks7hs40y3jgkcmmk7q70,,29.904016
