external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
8033481328105,RED,ROSSO,ROSSO DEI NOTRI,TOSCANA,BOLGHERI,TUA RITA,2022,"0,75",30,12,11
9807895487978,RED,ROSSO,ROSSO DELLA CENTA,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2018,"0,75",120,58,6
,RED,ROSSO,ROSSO DI MEZZO,SICILIA,ETNA,FEDERICO GRAZIANI,2021,"0,75",0,0,12
8022931504206,RED,ROSSO,ROSSO DI MONTALCINO,TOSCANA,MONTALCINO,ARGIANO,2020,"0,75",35,13.5,3
,RED,ROSSO,ROSSO RISERVA,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2017,"0,75",65,28,6
8022931504213,RED,SANGIOVESE,ROSS0 DI MONTALCINO,ARGIANO,MONTALCINO,ARGIANO,2021,"0,75",35,13.9,6
9089786756,,SAUVIGNON,CUVÈE MARNE-CAILLOTTES,FRANCIA,LOIRA,ROGER,2022,"0,75",50,21.25,6
9878654565768,,SAUVIGNON,LES ROMAINS,FRANCIA,LOIRA,DOMAINE VACHERON,2021,"0,75",100,55,2
8030421004990,,SAUVIGNON,POTENTILLA,FRIULI VENEZIA GIULIA,COF,LIVIO FELLUGA,2018,"0,75",45,16,5
679786756,,SAUVIGNON,POUILLY-FUME,FRANCIA,LOIRA,LEBRUN,2021,"0,75",40,15.75,6
8010788010094,,SAUVIGNON,SAUVIGNON,FRIULI VENEZIA GIULIA,COF,RONCO CASALI,2022,"0,75",25,7.8,33
966776,,SAUVIGNON,SAUVIGNON,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021,"0,75",45,20.9,6
8796755667,,SAUVIGNON,SAUVIGNON RISERVA,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021,"0,75",85,35,6
22222222,,SAUVIGNON,SAUVIGNON RONCO PITOTTI,FRIULI VENEZIA GIULIA,COF,VIGNAI DA DULINE,2016,"0,75",100,41.1,2
8004312757005,,SCHIAVA,VERNATSCH,TRENTINO-ALTO ADIGE,ALTO ADIGE,ST MICHAEL-EPPAN,2022,"0,75",25,7.8,6
