type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
RED,Hebo – Magnum,MAGNUM,2020,Petra,2, 28.20 € ,72
RED,Petra ,,2011,Petra,1, 39.45 € ,77
RED,(Merlot-Cab.Sauv),,,,,,
RED,Petra – Magnum,MAGNUM,2015,Petra,1, 71.80 € ,154
RED,Tignanello ,,2020,Antinori,8, 83.80 € ,165
RED,(Sangiovese-Cab.Sauv.-Cab. F),,,,,,
RED,Tignanello,,2016,Antinori,8, 160.00 € ,285
RED,Tignanello,,2021,,12,,
RED,Tignanello - MAG,MAGNUM,2016,,1, 340.00 € ,520
RED,Tignanello - MAG,MAGNUM,2021,,2,,
RED,Avvoltore ,,2018,Morris Farms,12, 31.40 € ,71
RED,(Sangiovese-Cab.Sauv.-Syrah),,,,,,
RED,Avvoltore – Magnum,MAGNUM,2015-16,,, 61.40 € ,142
RED,Le Volte ,,2022,Ornellaia,16, 17.50 € ,47
RED,(Merlot-Sangiov.-Cab.Sauv),,,,,,
RED,Le Volte – Magnum,MAGNUM,2020,Ornellaia,1, 41.40 € ,94
RED,(Syrah-Alic.-Merlot-Cab. Franc-Marselan),,,,,,
RED,Volpolo DOC Bolgheri,,2021,Podere Sappaio,6, 16.40 € ,44
RED,Volpolo DOC Bolgheri,,2022,,12,,44
RED,(Cab.Sauv.-Merlot-Petit Verdot),,,,,,
RED,Villa Donoratico - Bolgheri,,2019,Tenuta Argentiera,2, 24.20 € ,57
RED,(Cab.F.-Cab.Sauv.-Merlot-Petit Verdot),,,,,,
RED,Villa Donoratico - Bolgheri,,2020,,11,,
RED,Piastraia Bolgheri Superiori,,2021,Michele Satta,25, 29.50 € ,68
RED,Piastraia Bolgheri Superiori Mag,MAGNUM,2021,,, 65.00 € ,136
RED,Piastraia Bolgheri Superiori 3L,JEROBOAM,2021,,, 142.00 € ,272
RED,Syrah Cortona doc Mementum,,2020,Paolo Magi,8, 19.80 € ,51
RED,Filari 18 Cabernet Franc Bio - anfora,,2018,Casadei,5, 23.70 € ,57
RED,Villa Antinori Rosso  IGT,,2020,Villa Antinori,20, 12.30 € ,36
RED,Villa Antinori Rosso  IGT,,2022,Villa Antinori,16, 12.30 € ,36
RED,,,,,,,36
RED,Villa Antinori Rosso IGT Rosso Mag,MAGNUM,2020,Villa Antinori,1, 31.80 € ,72
RED,Villa Antinori Rosso IGT Rosso Mag,MAGNUM,2022,,3,,72
RED,Villa Antinori Rosso IGT Rosso 3L,JEROBOAM,2022,,2, 69.00 € ,144
RED,Veneto – Venetien,,,,,,
RED,Valpolicella Superiore,,2020,Zanoni,9, 7.90 € ,30
RED,Valpolicella Superiore,,2021,Allegrini,74, 9.90 € ,33
RED,Amarone della Valpolicella,,2013,Zanoni,, 32.00 € ,73
RED,Amarone Capitel Monte Olmi,,2015,Tedeschi,, 45.30 € ,96
RED,Carminium (Carmenere),,2021,Inama,5, 18.00 € ,48
RED,,,,,,,
RED,Piemonte – Piemont,,,,,,
RED,Nebbiolo Val dei Preti,,2019,Matteo Coreggia,5, 15.90 € ,44
RED,Nebbiolo Val dei Preti,,2021,,11,,44
RED,Nebbiolo Val dei Preti,,2018,,6,,44
RED,Nebbiolo Val dei Preti MAG,MAGNUM,2018,Matteo Coreggia,3, 32.00 € ,88
RED,Nebbiolo Val dei Preti MAG,MAGNUM,2020,,3,,88
RED,Nebbiolo Val dei Preti 3L,JEROBOAM,2019,Matteo Coreggia,1, 85.00 € ,176
RED,Nebbiolo Val dei Preti 3L,JEROBOAM,2020,,1,,176
RED,Nebbiolo Val dei Preti 5L,BORDEAUX_JEROBOAM,20219,,,,296
RED,Barbera d’Alba,,2022,Matteo Coreggia,17, 8.60 € ,30
RED,Barbera d’Alba MAG,MAGNUM,2019,Matteo Coreggia,2, 16.00 € ,60
RED,Nebbiolo Langhe,,2020,La Ca’ Nova,4, 11.00 € ,38
RED,"Nebbiolo ""Fralù""",,2022,Bruno Rocca,18, 14.50 € ,41
RED,"Nebbiolo ""Fralù""",,2023,,24,,
RED,"Nebbiolo ""Fralù"" MAG",MAGNUM,2022,,9,,82
RED,Barbaresco Montestefano,,2018,La Ca’ Nova,5, 27.00 € ,64
RED,Barbaresco Montestefano,,2015,,3,,64
