Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,70,Weißburgunder,2020,Weißburgunder Himmelsleiter,castel Juval,Vinschgau,WD, 19.60 € , 30.00 € , 4.96 € , 54.56 € , 55.00 € , 60.00 € , 39.45 € ,5.00 €, € 10.00 ,12,12,11,13 ,,1,1,,1,,,,1,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,
,71,Weißburgunder,2021,Weißburgunder Kardatsch,Untermoserhof - Georg Ramoser,Unterland,FW, 13.90 € , 25.00 € , 3.89 € , 42.79 € , 43.00 € , 43.00 € , 27.98 € ,0.00 €, € 7.17 ,,12,3,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,1,,,,,,
,72,Chardonnay,2019,Chardonnay Löwengang,Weingut Alois Lageder,Unterland,WD, 44.50 € , 40.00 € , 8.45 € , 92.95 € , 93.00 € , 93.00 € , 89.58 € ,0.00 €, € 15.50 ,7,7,8,6 ,,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
,72.3,Chardonnay,2021,Chardonnay Gottesacker,Martin Abraham,Unterland,WD, 16.90 € , 30.00 € , 4.69 € , 51.59 € , 52.00 € , 50.00 € , 34.02 € ,-2.00 €, € 8.33 ,,48,32,16 ,,,,,,,,,,,,,,,,,,,,,,2,,4,,1,1,,,2,,1,1,,2,2,3,1,4,1,,2,,1,1,1,1,3,,,1,,,,,,,
,73,Chardonnay,2017,Chardonnay AU,Kellerei Tiefenbrunner,Unterland,FW, 45.00 € , 50.00 € , 9.50 € , 104.50 € , 105.00 € , 105.00 € , 90.59 € ,0.00 €, € 17.50 ,4,6,4,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,
,74,Chardonnay,AT Tempus,"Chardonnay AU AT Tempus (2014,15 u 16)",Kellerei Tiefenbrunner,Unterland,Cuzziol, 55.00 € , 50.00 € , 10.50 € , 115.50 € , 116.00 € , 116.00 € , 110.72 € ,0.00 €, € 19.33 ,6,6,3,9 ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
,75,Chardonnay,2019,"Chardonnay Riserva ""Burgum Novum""",Weingut Castelfeder,Unterland,Karner/Castelfeder, 19.11 € , 30.00 € , 4.91 € , 54.02 € , 54.00 € , 53.00 € , 38.47 € ,-1.00 €, € 8.83 ,8,21,19,10 ,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,2,3,,,,1,,1,1,,1,,,2,,3,2,,,,,,
,76,Chardonnay,2021,Chardonnay Riserva Lina,Weingut Bergmannhof,Überetsch,WD, 19.00 € , 30.00 € , 4.90 € , 53.90 € , 54.00 € , 54.00 € , 38.25 € ,0.00 €, € 9.00 ,11,30,33,8 ,,2,,1,,,2,,,1,1,2,2,,,,,,,,,3,,3,4,1,,,,,,,2,1,,,,,3,,2,,,,,,2,1,,,2,,,,,,,
,78,Chardonnay,2021,Chardonnay Lafoà,Kellerei Schreckbichl,Überetsch,WD, 18.20 € , 30.00 € , 4.82 € , 53.02 € , 53.00 € , 53.00 € , 36.64 € ,0.00 €, € 8.83 ,13,,7,6 ,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,1,,,,,,,
,79,Chardonnay,2021,Chardonnay Ateyon  ,Weingut Loacker,Bozen,WD, 14.50 € , 25.00 € , 3.95 € , 43.45 € , 43.00 € , 43.00 € , 29.19 € ,0.00 €, € 7.17 ,12,30,31,11 ,,,,,1,1,2,1,1,1,2,2,,,,,,,,,,,,,1,1,,,,,,3,,,,1,2,,8,,1,,1,,,,,1,,,1,,,,,,,
,80,Chardonnay,2011/13,Chardonnay Donà d'Or,Weingut Hartmann Donà,Überetsch,Akos, 37.50 € , 40.00 € , 7.75 € , 85.25 € , 85.00 € , 85.00 € , 75.49 € ,0.00 €, € 14.17 ,8,1,5,4 ,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,
,81,Chardonnay,2021,Chardonnay Fluch und Segen,Martin Gschraffer,Überetsch,Martin Gschraffer, 21.70 € , 30.00 € , 5.17 € , 56.87 € , 57.00 € , 57.00 € , 43.68 € ,0.00 €, € 9.50 ,34,44,69,9 ,,4,,2,1,2,2,2,6,1,3,,3,,,,,,,,,8,,1,2,,,,1,,,,4,1,1,3,3,6,3,2,,,1,1,,1,,,1,,5,,,,,,,
Feritg,82,Chardonnay,2017,Chardonnay Alte Reben,Berhard Huber,Überetsch,WD, 30.50 € , 30.00 € , 6.05 € , 66.55 € , 67.00 € , 67.00 € , 61.40 € ,0.00 €, € 11.17 ,1,,1,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,83,Chardonnay,2019,Chardonnay Foll,Cantina Toblino,Trento,Cuzziol, 14.50 € , 25.00 € , 3.95 € , 43.45 € , 43.00 € , 42.00 € , 29.19 € ,-1.00 €, € 7.00 ,72,120,118,27 ,,6,2,5,2,1,5,3,2,3,2,1,3,,,,,,,,1,10,1,3,4,2,1,3,,3,3,2,3,2,2,4,1,3,5,6,2,5,,2,2,5,1,2,4,,9,2,,,,,,
,84,Chardonnay,2020,Chardonnay Moraine,Untermoserhof - Georg Ramoser,Bozen,WD, 19.00 € , 30.00 € , 4.90 € , 53.90 € , 54.00 € , 54.00 € , 38.25 € ,0.00 €, € 9.00 ,12,40,25,11 ,,5,,,,,,,,,,1,1,,,,,,,,,,,2,1,,,,,,,,1,2,1,,1,,2,,4,,2,,1,2,,,,,2,,,,,,,
,84.5,Chardonnay,2019,Chardonnay Kreuzweg,Castelferder,Bozen,WD, 65.00 € , 50.00 € , 11.50 € , 126.50 € , 125.00 € , 130.00 € , 130.85 € ,5.00 €, € 21.67 ,,3,2,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,85,Pino Grigio,2022,Pinot Grigio - Castel Ringberg ,Weingut Elena Walch,Unterland,FW, 17.05 € , 25.00 € , 4.21 € , 46.26 € , 46.00 € , 47.00 € , 34.32 € ,1.00 €, € 7.83 ,9,45,48,6 ,,1,1,,,1,1,2,2,,,5,,,,,,,,,,,,,,4,,,,,10,,1,1,,4,1,1,1,2,4,,1,,,3,1,2,1,,2,,,,,,,
,86,Pino Grigio,2019,Pinot Grigio - Aristos,Eisacktaler kellerei,Unterland,WD, 11.50 € , 25.00 € , 3.65 € , 40.15 € , 40.00 € , 40.00 € , 23.15 € ,0.00 €, € 6.67 ,-5,8,1,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,Pino Grigio,2021,Pinot Grigio - Punggl,Nals Margreid,Unterland,WD, 11.85 € , 25.00 € , 3.69 € , 40.54 € , 41.00 € , 41.00 € , 23.85 € ,0.00 €, € 6.83 ,16,30,26,20 ,,2,,,1,,1,,,3,,2,,,,,,,,,,,,1,,1,,,,,,1,,1,1,1,1,,1,,1,1,2,2,,1,,2,,,1,,,,,,,
6,88,Pino Grigio,2021,Pinot Grigio Porer,Weingut Alois Lageder,Unterland,WD, 14.45 € , 25.00 € , 3.95 € , 43.40 € , 43.00 € , 42.00 € , 29.09 € ,-1.00 €, € 7.00 ,7,43,34,16 ,,,,,1,,,1,1,,1,1,1,,,,,,,,1,,,1,3,,2,2,,1,2,,1,,,2,,2,4,,,,1,,,1,,,2,,4,,,,,,,
,89,Pino Grigio,2020,Pinot Grigio Puiten ,Kellerei Schreckbichl,Überetsch,WD, 10.20 € , 25.00 € , 3.52 € , 38.72 € , 39.00 € , 36.00 € , 20.53 € ,-3.00 €, € 6.00 ,7,,0,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,Pinot Grigio,2020,Pinot Grigio Riserva Giatl,Weingut Peter Zemmer,Unterland,WD, 16.90 € , 25.00 € , 4.19 € , 46.09 € , 46.00 € , 46.00 € , 34.02 € ,0.00 €, € 7.67 ,3,22,15,10 ,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,,1,,,,,,2,,,,2,,,1,,4,,,,,,,
,91,Müller Thurgau,2022,Müller Thurgau Sass Rigais,Weingut Manni Nössing,Eisacktal,FW, 10.50 € , 25.00 € , 3.55 € , 39.05 € , 39.00 € , 39.00 € , 21.14 € ,0.00 €, € 6.50 ,14,24,21,17 ,,4,3,1,,1,,1,,,,1,,,,,,,,,,,,1,1,,,,,1,2,,3,,,,,,,,,2,,,,,,,,,,,,,,,,
,92,Müller Thurgau,2020,Müller Thurgau Vigna Feldmarschall,Schlosskellerei Tiefenbrunner,Entiklar,FW, 33.25 € , 30.00 € , 6.33 € , 69.58 € , 70.00 € , 69.00 € , 66.93 € ,-1.00 €, € 11.50 ,2,19,5,16 ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,,
,93,Müller Thurgau,2010,Müller Thurgau Vigna Feldmarschall,Schlosskellerei Tiefenbrunner,Entiklar,FW, 28.75 € , 30.00 € , 5.88 € , 64.63 € , 65.00 € , 75.00 € , 57.87 € ,10.00 €, € 12.50 ,2,2,1,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,
,94,Müller Thurgau,2016,Vigna Feldmarschall Vendemia Tardiva,Schlosskellerei Tiefenbrunner,Entiklar,Cuzziol, 75.00 € , 70.00 € , 14.50 € , 159.50 € , 160.00 € , 76.00 € , 150.98 € ,-84.00 €, € 12.67 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,Kerner,2022,Kerner Karneid,Weingut Franz Gojer,Eggental,WD, 9.95 € , 25.00 € , 3.50 € , 38.45 € , 38.00 € , 39.00 € , 20.03 € ,1.00 €, € 6.50 ,4,18,11,11 ,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,4,,,,,,,,,,,1,,2,,,,,1,,,,,,
,96,Kerner,2015,Kerner Aurona,Kellerei Laimburg,Eisacktal,WD, 16.90 € , 30.00 € , 4.69 € , 51.59 € , 52.00 € , 52.00 € , 34.02 € ,0.00 €, € 8.67 ,4,3,2,5 ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,97,Kerner,2022,Kerner ,Rielinger,Eisacktal,WD, 13.60 € , 25.00 € , 3.86 € , 42.46 € , 42.00 € , 40.00 € , 27.38 € ,-2.00 €, € 6.67 ,5,24,19,10 ,,1,,,1,,,,1,,,,1,,,,,,,,1,2,,,,,,2,,,2,,1,,,,1,,,,,1,,,,,,,,,5,,,,,,,
,98,Kerner,2022,Kerner ,Weingut Villscheiderhof,Eisacktal,WD, 9.90 € , 25.00 € , 3.49 € , 38.39 € , 38.00 € , 36.00 € , 19.93 € ,-2.00 €, € 6.00 ,11,60,57,14 ,,5,2,1,7,5,3,2,3,2,2,5,1,,,,,,,,1,,1,1,,,3,2,,,,,,1,,,1,,5,2,2,,,,2,,1,,,,,,,,,,,
,99,Grüner Veltliner,2016,Grüner Veltliner Hautnah,Weingut Garlider,Eisacktal,WD, 24.60 € , 30.00 € , 5.46 € , 60.06 € , 60.00 € , 61.00 € , 49.52 € ,1.00 €, € 10.17 ,3,,1,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,100,Grüner Veltliner,2020,Grüner Veltliner ,Weingut Garlider,Eisacktal,WD, 11.80 € , 25.00 € , 3.68 € , 40.48 € , 40.00 € , 39.00 € , 23.75 € ,-1.00 €, € 6.50 ,7,24,18,13 ,,1,,,,1,,,2,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,2,2,,,,,,,4,2,,,,,,,,1,,,,,,
,101,Grüner Veltliner,2022,Grüner Veltliner R,Köfererhof,Eisacktal,WD, 15.90 € , 30.00 € , 4.59 € , 50.49 € , 50.00 € , 49.00 € , 32.01 € ,-1.00 €, € 8.17 ,12,36,20,11 ,,,1,,,,,2,,,2,,,,,,,,,,1,,,,5,2,1,1,,,,1,,,1,2,,,,,,1,,,,,,,,,,,,,,,,
,102,Grüner Veltliner,2022,Grüner Veltliner ,Pacherhof,Eisacktal,Karner, 12.67 € , 25.00 € , 3.77 € , 41.44 € , 41.00 € , 41.00 € , 25.50 € ,0.00 €, € 6.83 ,12,69,49,9 ,,2,,1,,2,,4,2,,,3,,,,,,,,,,,,,7,6,,1,,,1,3,,1,1,1,,,,,1,,4,,1,,,2,,,7,1,,,,,,
,103,Sylvaner,2019,Sylvaner Alte Rebe,Weingut Pacherhof,Eisacktal,Karner, 20.59 € , 30.00 € , 5.06 € , 55.65 € , 56.00 € , 56.00 € , 41.45 € ,0.00 €, € 9.33 ,7,25,24,8 ,,3,1,,,,,3,1,,,1,1,,,,,,,,1,,,,,,,,,,,2,,1,1,1,,2,2,,,,2,,2,,,,1,,1,,,,,,,
,104,Sylvaner,2019,Sylvaner Praepositus,Stiftskellerei Neustift,Eisacktal,Neustift, 14.10 € , 25.00 € , 3.91 € , 43.01 € , 43.00 € , 42.00 € , 28.38 € ,-1.00 €, € 7.00 ,11,,6,5 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,3,,3,,,,,,,,,
,105,Sylvaner,2019,Sylvaner,Weingut Thomas Dorfmann,Etschtal,Akos, 14.38 € , 25.00 € , 3.94 € , 43.32 € , 43.00 € , 42.00 € , 28.95 € ,-1.00 €, € 7.00 ,4,33,16,21 ,,6,,,1,1,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,1,2,,1,,,,,,,,5,,,,,,,,,,,,,
,106,Sylvaner,2016,Sylvaner Hautnah,Weingut Garlider,Eisacktal,WD, 24.60 € , 30.00 € , 5.46 € , 60.06 € , 60.00 € , 61.00 € , 49.52 € ,1.00 €, € 10.17 ,5,1,1,5 ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107.2,Sylvaner,2021,Silvaner,Daniel Sigmund,Eisacktal,Lebewein, 13.90 € , 25.00 € , 3.89 € , 42.79 € , 43.00 € , 43.00 € , 27.98 € ,0.00 €, € 7.17 ,6,,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107.3,Sylvaner,2021,Sylvaner,Zöhlhof,Eisacktal,Lebewein, 13.70 € , 25.00 € , 3.87 € , 42.57 € , 43.00 € , 43.00 € , 27.58 € ,0.00 €, € 7.17 ,6,,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,107.4,Sylvaner,2021,Einstein Sylvaner,Zöhlhof,Eisacktal,Lebewein, 25.00 € , 30.00 € , 5.50 € , 60.50 € , 61.00 € , 61.00 € , 50.33 € ,0.00 €, € 10.17 ,6,,3,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
,107.4,Riesling,2022,Riesling,Daniel Sigmund,Eisacktal,Lebewein, 15.90 € , 30.00 € , 4.59 € , 50.49 € , 50.00 € , 49.00 € , 32.01 € ,-1.00 €, € 8.17 ,6,,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,Riesling,2021,Riesling,Weingut Falkenstein,Vinschgau,FW, 13.50 € , 25.00 € , 3.85 € , 42.35 € , 42.00 € , 45.00 € , 27.18 € ,3.00 €, € 7.50 ,17,36,38,15 ,,3,3,1,,2,2,1,2,1,1,2,1,,,,,,,,,2,,,1,2,,,1,2,1,,1,1,1,2,2,,,1,1,1,,,1,2,,,,,,,,,,,,
,109,Riesling,2015,Riesling private reserve (reserviert),Weingut Falkenstein,Vinschgau,FW, 15.45 € , 30.00 € , 4.55 € , 50.00 € , 50.00 € , 55.00 € , 35.00 € ,5.00 €, € 9.17 ,10,,10,0 ,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,Riesling,2018,Riesling Anadûron,Weingut Falkenstein,Vinschgau,FW, 28.40 € , 30.00 € , 5.84 € , 64.24 € , 64.00 € , 62.00 € , 35.00 € ,-2.00 €, € 10.33 ,5,61,51,15 ,,7,,2,2,4,1,3,2,1,2,2,2,,,,,,,,1,1,1,,,1,,1,,1,2,2,1,,,1,1,1,2,1,1,1,,1,3,,1,,3,,,,,,,,,
,111,Riesling,2020,Riesling Windbichl,castel Juval,Vinschgau,WD, 26.90 € , 30.00 € , 5.69 € , 62.59 € , 63.00 € , 70.00 € , 54.15 € ,7.00 €, € 11.67 ,6,8,5,9 ,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,1,,,,,,
,113,Riesling,2021,Riesling Lehengut,Weingut Lehengut,Vinschgau,Karner, 12.00 € , 25.00 € , 3.70 € , 40.70 € , 41.00 € , 40.00 € , 24.16 € ,-1.00 €, € 6.67 ,18,36,33,21 ,,1,,,,2,1,1,,,6,,,,,,,,,,1,,,,1,,2,,,1,,1,,,7,,,,1,,,,1,2,1,,,,3,,2,1,,,,,,
,114,Riesling,2020,Riesling Dorfmann,Weingut Thomas Dorfmann,Eisacktal,O, 14.38 € , 25.00 € , 3.94 € , 43.32 € , 43.00 € , 41.00 € , 28.95 € ,-2.00 €, € 6.83 ,6,7,6,7 ,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
,115,Riesling,2017,Riesling Praepositus,Stiftskellerei Neustift,Eisacktal,Neustift, 15.50 € , 30.00 € , 4.55 € , 50.05 € , 50.00 € , 49.00 € , 31.20 € ,-1.00 €, € 8.17 ,3,3,4,2 ,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,116,Riesling,2021,Riesling ,Weingut Hochklaus,Bozen,Hochklaus, 19.50 € , 30.00 € , 4.95 € , 54.45 € , 54.00 € , 54.00 € , 39.25 € ,0.00 €, € 9.00 ,0,61,24,37 ,,3,,2,1,,,2,1,,,1,1,,,,,,,,1,1,,1,1,2,,1,,,1,,,,,1,,,1,,,,,,,,,1,,,2,,,,,,,
,117,Sauvignon,2020,Sauvignon Voglar ,Weingut Peter Dipoli,Unterland,FW, 15.50 € , 25.00 € , 4.05 € , 44.55 € , 45.00 € , 45.00 € , 31.20 € ,0.00 €, € 7.50 ,10,36,35,11 ,,,,1,,1,,1,,1,1,,1,,,,,,,,,3,,5,,,,2,,,2,,,2,1,2,5,,,,,1,,2,1,2,1,1,,,3,1,,,,,,
,118,Sauvignon,2020,Sauvignon St. Valentin ,Kellerei St. Michael Eppan,Überetsch,WD, 17.70 € , 30.00 € , 4.77 € , 52.47 € , 52.00 € , 51.00 € , 35.63 € ,-1.00 €, € 8.50 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,Sauvignon,2021,Sauvignon Lafoà,Kellerei Schreckbichl,Überetsch,Schreckbichl, 18.90 € , 30.00 € , 4.89 € , 53.79 € , 54.00 € , 54.00 € , 38.05 € ,0.00 €, € 9.00 ,13,24,23,14 ,,1,,,1,,,,1,,1,2,2,,,,,,,,,,,,1,,2,,,1,3,2,,1,,1,,,,1,,,,2,,1,,,,,1,1,,,,,,
,120,Sauvignon,2020,Sauvignon,Weingut Wassererhof,Eisacktal,O, 10.90 € , 25.00 € , 3.59 € , 39.49 € , 39.00 € , 41.00 € , 21.94 € ,2.00 €, € 6.83 ,13,33,30,16 ,,3,1,1,1,1,,,,,,1,,,,,,,,,,,,1,2,,,2,,2,,,1,1,3,4,,,,,,,2,,1,,,1,1,,2,,,,,,,
,121,Sauvignon,2019,Sauvignon Riserva,Weingut Wassererhof,Eisacktal,O, 23.86 € , 30.00 € , 5.39 € , 59.25 € , 59.00 € , 57.00 € , 48.03 € ,-2.00 €, € 9.50 ,6,6,8,4 ,,,,,,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,3,,,,1,,,,,,,,,
,122,Sauvignon,2012,Sauvignon Private reserve,Weingut Falkenstein,Eisacktal,FW, 15.70 € , 30.00 € , 4.57 € , 50.27 € , 50.00 € , 55.00 € , 31.60 € ,5.00 €, € 9.17 ,9,6,8,7 ,,1,1,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,123,Sauvignon,2018,Sauvignon Rachtl,Kellerei Tiefenbrunner,Unterland,FW, 35.00 € , 40.00 € , 7.50 € , 82.50 € , 83.00 € , 83.00 € , 70.46 € ,0.00 €, € 13.83 ,4,,2,2 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,124,Sauvignon,2020,Sauvignon Lieben Aich,Manincor,Kaltern,Karner, 43.24 € , 40.00 € , 8.32 € , 91.56 € , 92.00 € , 92.00 € , 87.04 € ,0.00 €, € 15.33 ,6,12,12,6 ,,1,,,,,2,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,2,,1,,,,,,,,,,,,1,,,,,,,
,125,Sauvignon,2020,Sauvignon Quarz,Kellerei Terlan ,Etschtal,Karner, 36.00 € , 30.00 € , 6.60 € , 72.60 € , 73.00 € , 85.00 € , 72.47 € ,12.00 €, € 14.17 ,21,,11,10,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,5,,,,,,,
,127,Sauvignon,2020,Sauvignon Oberberg,Weingut Kornell,Etschtal,Karner, 19.90 € , 30.00 € , 4.99 € , 54.89 € , 55.00 € , 56.00 € , 40.06 € ,1.00 €, € 9.33 ,11,24,17,18,,,1,,,,,,,1,,2,,,,,,,,,,1,1,,1,,,,,1,2,,,,,,,,1,,3,,,2,,,,,,,1,1,,,,,,
,128,Sauvignon,2019,Sauvignon Tasnim Bio,Weingut Loacker,Bozen,WD, 11.80 € , 25.00 € , 3.68 € , 40.48 € , 40.00 € , 41.00 € , 23.75 € ,1.00 €, € 6.83 ,8,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,Sauvignon,2022,Cosmas,Weingut Kornell,Etschtal,Karner, 9.90 € , 25.00 € , 3.49 € , 38.39 € , 38.00 € , 37.00 € , 19.93 € ,-1.00 €, € 6.17 ,43,122,121,44,,2,1,4,2,4,6,3,3,5,7,2,3,,,,,,,,,1,3,4,5,6,4,4,1,,3,11,1,1,2,4,3,4,5,3,1,,,1,2,4,2,4,2,,6,5,,,,,,
,131,Sauvignon,2019,Sauvignon Mathias,Weingut Pfitscher,Montan,WD, 24.00 € , 30.00 € , 5.40 € , 59.40 € , 59.00 € , 59.00 € , 48.31 € ,0.00 €, € 9.83 ,11,18,24,5,,1,1,,1,1,4,,1,,1,1,,,,,,,,,1,,,,2,1,,,,,1,,,,1,2,,,1,1,,,,,,,1,,1,,2,,,,,,,
12,132,Gewürztraminer,2022,Gewürztraminer Selida,Kellerei Tramin,Unterland,FW, 9.90 € , 25.00 € , 3.49 € , 38.39 € , 38.00 € , 35.00 € , 19.93 € ,-3.00 €, € 5.83 ,13,30,44,-1,,3,,1,,1,,1,2,,,1,2,,,,,,,,,,,2,1,1,1,1,,2,,1,1,3,2,,1,,2,,1,2,1,2,,1,2,,,,9,,,,,,,
,133,Gewürztraminer,2021,Gewürztraminer Nussbaumer,Kellerei Tramin,Unterland,WD, 19.90 € , 30.00 € , 4.99 € , 54.89 € , 55.00 € , 60.00 € , 40.06 € ,5.00 €, € 10.00 ,6,18,13,11,,3,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,1,2,,,,1,,,,,,,,,,,,,,,,2,,,,,,,
,134,Gewürztraminer,2020,Gewürztraminer  Orange,Schloss Englar,Überetsch,FW, 13.00 € , 25.00 € , 3.80 € , 41.80 € , 42.00 € , 42.00 € , 26.17 € ,0.00 €, € 7.00 ,19,6,11,14,,1,1,2,,1,1,1,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,Gewürztraminer,2020,Gewürztraminer Upupa Orange,Martin Abraham,Überetsch,WD, 19.90 € , 30.00 € , 4.99 € , 54.89 € , 55.00 € , 55.00 € , 40.06 € ,0.00 €, € 9.17 ,,12,8,4,,,,,,,,,,,,1,2,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
,136,Gewürztraminer,2018,Gewürztraminer Riserva Exilissi,Baron di Pauli,Überetsch,FW, 23.40 € , 30.00 € , 5.34 € , 58.74 € , 59.00 € , 59.00 € , 47.10 € ,0.00 €, € 9.83 ,5,6,4,7,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,137,Gewürztraminer,2019,Gewürztraminer Tardus,Schlosskellerei Tiefenbrunner,Überetsch,FW, 22.35 € , 30.00 € , 5.24 € , 57.59 € , 58.00 € , 58.00 € , 44.99 € ,0.00 €, € 9.67 ,13,42,37,18,,2,,,,,3,,,,,4,3,,,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,,,,,10,,,1,,,,,,,,,3,,,,,,,
,138,Gewürztraminer,2021,Gewürztraminer St. Valentin,Kellerei St. Michael Eppan,Überetsch,WD, 19.10 € , 30.00 € , 4.91 € , 54.01 € , 54.00 € , 54.00 € , 38.45 € ,0.00 €, € 9.00 ,7,24,14,17,,,,,1,1,3,,,,1,,,,,,,,,,,,,,,,,,,,1,2,1,,1,1,,,,,,,1,,,,,,,,1,,,,,,,
,139,Gewürztraminer,2015,Gewürztraminer Epokale (1x Daniel 2011),Kellerei Tramin,Überetsch,Alka, 95.00 € , 80.00 € , 17.50 € , 192.50 € , 193.00 € , 200.00 € , 191.24 € ,7.00 €, € 33.33 ,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
