external_id,size,name,winery_name,vintage,supplier,purchase_price,price,retail_price,glass_price,quantity
139,BOTTLE,Gewürztraminer Epokale (1x Daniel 2011),Kellerei Tramin,2015,Alka, 95.00 € , 200.00 € , 191.24 € , € 33.33 ,2
139,BOTTLE,Gewürztraminer am Sand,Alois Lageder,2021,WD, 16.60 € , 46.00 € , 33.42 € , € 7.67 ,8
139,BOTTLE,Solaris Anterui,Urban Visintin,2019,Liesele, 12.00 € , 41.00 € , 24.16 € , € 6.83 ,33
140,BOTTLE,Vino del Passo - Green Mountain Wine,Weingut Lieselehof,2019,Liesele, 39.50 € , 82.00 € , 79.51 € , € 13.67 ,8
140.2,BOTTLE,Le Viogn,Tröpfltalhof,2021,WD, 17.20 € , 52.00 € , 34.62 € , € 8.67 ,4
141.2,BOTTLE,Shades of Gris Project XXX,Kellerei Kaltern,2020,WD, 19.90 € , 55.00 € , 40.06 € , € 9.17 ,7
142.2,BOTTLE,Muscaris Sulis,Weingut Edmund Pomella,2022,Pomella, 14.70 € , 44.00 € , 29.59 € , € 7.33 ,14
142,BOTTLE,Julian - Bio,Weingut Lieselehof,2019,Liesele, 20.70 € , 50.00 € , 41.67 € , € 8.33 ,8
143,BOTTLE,Julian Orange - Bio,Weingut Lieselehof,2020,Liesele, 31.20 € , 64.00 € , 62.81 € , € 10.67 ,8
143.4,BOTTLE,De Vite (bestellt),Weingut Hofstätter,2022,O, 9.43 € , 37.00 € , 18.98 € , € 6.17 ,35
144,BOTTLE,Manna,Franz Haas,2022,FW, 17.15 € , 49.00 € , 34.52 € , € 8.17 ,30
144.3,BOTTLE,Aichberg,Kornell,2020,WD, 19.90 € , 54.00 € , 40.06 € , € 9.00 ,8
145,BOTTLE,Beyond The Clouds,Weingut Elena Walch,2021,O, 52.00 € , 99.00 € , 104.68 € , € 16.50 ,9
146,BOTTLE,Beyond the Clouds Argentum Bonum,Weingut Elena Walch,2012,O, 60.60 € , 132.00 € , 121.99 € , € 22.00 ,1
147,BOTTLE,Reserve della Contessa  ,Weingut Manincor,2022,OB, 13.75 € , 42.00 € , 27.68 € , € 7.00 ,4
148,BOTTLE,Private Cuvèe,Weingut Pacherhof,2019,Karner, 27.46 € , 66.00 € , 55.28 € , € 11.00 ,14
149,BOTTLE,TERLANER Cuvee rarity 2008,Kellerei Terlan ,2008,Karner, 108.00 € , 207.00 € , 217.40 € , € 34.50 ,3
150,BOTTLE,TERLANER Primo Grande Cuvee,Kellerei Terlan ,2019,WD, 125.00 € , 250.00 € , 251.63 € , € 41.67 ,4
150.2,BOTTLE,TERLANER Primo Grande Cuvee,Kellerei Terlan ,2020,OBK, 134.00 € , 270.00 € , 269.74 € , € 45.00 ,2
