ok,external_id,type,name,winery_name,area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,,SPARKLING,YUMAN PREMIER CRUBRUT NATURE BIO,MARGUET,1-4,BOTTLE,2019,140,,,,Yuman Champagne Premier Cru,Marguet,wine_01h0r2ppq7ytxa8eh0zsmj9avf,,42.316093,,
TRUE,,SPARKLING,SHAMAN ROSE' GRAND CRU A.O.C.,MARGUET,1-5,BOTTLE,2019,150,,,,Shaman Rosé Champagne Grand Cru,Marguet,wine_01h0r2ppq7kt03skch138zye50,,43.517376,,
TRUE,,SPARKLING,BLANC DE NOIRS EXTRA BRUT,MAURICE GRUMIER,1-4,BOTTLE,,90,,,,Blanc de Noirs Extra Brut Champagne,Maurice Grumier,wine_01h4pmmfcw6dxr7fpfd5g6arqc,,50.637886,,
TRUE,,SPARKLING,OZANNE BLANC DE BLANCSGRAND CRU,MICHEL FALLON,,BOTTLE,,280,,,,Ozanne Blanc de Blancs Brut Champagne Grand Cru ''Avize'',Michel Fallon,wine_01h0my5rrtj5shpty7n8tmk0h1,,40.27671,,
TRUE,,SPARKLING,INFLUENCE ROSE’ BRUT,MINIÉRE F. & R.,,BOTTLE,,150,,,,Influence Cuvée Brut Rosé Champagne,Miniere F. & R.,wine_01gzr4kskbm8rff597est1x7mj,5029541,50.23739,,
TRUE,,SPARKLING,BRUT SECRET DE FAMILLE PREMIER CRU,MONMARTHE,1-2,BOTTLE,,90,,,,Secret de Famille Brut Champagne Premier Cru,Monmarthe,wine_01h0f3cmbtxf8k57zhy2mn3dtj,,47.726166,,
TRUE,,SPARKLING,LES GRIPANTS BLANC DE NOIRS PREMIER CRU,MONMARTHE,2-2,BOTTLE,2012,120,,,,Les Grimpants Blanc de Noirs Brut Champagne Premier Cru,Monmarthe,wine_01h4pmmgg8sv1tvkfvfk5z2w0b,,46.925026,,
TRUE,,SPARKLING,EUGÈNE BLANC DE NOIRS,MOUSSE’ FILS,,BOTTLE,,120,,,,L''Or d''Eugène Perpetuelle Blanc de Noir Champagne,Moussé Fils,wine_01gzr4ksxe0sdmh1d43kq99xqs,,38.116673,,
TRUE,,SPARKLING,L’ANECDOTE,MOUSSE’ FILS,,BOTTLE,2019,150,,,,Anecdote Champagne,Moussé Fils,wine_01h4pmmgpppjkgf88avg2kqpxz,,39.455273,,
TRUE,,SPARKLING,L’ATAVIQUE EXTRA BRUT GRAND CRU,MOUZON LEROUX,2-1,BOTTLE,,110,,,,l''Atavique Brut Réserve Champagne Grand Cru ''Verzy'',Mouzon Leroux,wine_01h4pmmggf69tb1jj1fwe2ds0j,,52.067505,,
TRUE,,SPARKLING,L’ASCENDANT SOLERA EXTRA BRUT GRAND CRU,MOUZON LEROUX & FILS,,BOTTLE,,160,,,,L''Ascendant Solera Champagne Grand Cru ''Verzy'',Mouzon Leroux,wine_01h4pmmgpwp0v7htebdbhh1aq5,,57.375633,,
TRUE,,SPARKLING,L’INCANDESCENT ROSE’ DE SAIGNEE EXTRA BRUT,MOUZON LEROUX & FILS,,BOTTLE,,150,,,,l''Incandescent Rosé de Saignée Champagne Grand Cru ''Verzy'',Mouzon Leroux,wine_01h0r2pp9wx3p9jt857yksx3c7,,52.35407,,
