external_id,type,name_1,name_2,name_3,internal_notes,vintage,info,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2015,,,,,5,,,,
205,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2014,, 110.00 € ,,,12,,,,
,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2010,,,, 360.00 € ,,,6,,
,WHITE,terlaner,Kellerei Terlan,PRIMUS,,2022,RARITAS,,,,3,1,,,
,WHITE,terlaner,Kellerei Terlan,PRIMUS,,2021,,,,,3,,,,
,WHITE,terlaner,Kellerei Terlan,PRIMUS,,2020,,,,,3,,,,
,WHITE,terlaner,Kellerei Terlan,PRIMUS,,2019,,,,,3,,1,,
205,WHITE,terlaner,Kellerei Terlan,PRIMUS,,2017,, 220.00 € ,,,2,,,,
,WHITE,terlaner,Kellerei Terlan,PRIMUS,,2015,,,,,0,,1,,
,WHITE,terlaner,Kellerei Terlan ,TERLANER RARITAS,,2008,RARITAS,,,,3,,,,
,WHITE,terlaner,Kellerei Terlan ,TERLANER RARITAS,,1991,,,,,1,,,,
210,WHITE,Müller Thurgau,Kellereit St. Pauls,KLASSISCH,,2024,, 41.00 € ,,,24,,,,
211,WHITE,Müller Thurgau,Kellerei Kurtatsch,GRAUN,,2022,, 49.00 € ,,,16,,,,
,WHITE,Müller Thurgau,Weingut Tiefenbrunner,FELDMARSCHALL,,2020,,,,,30,,,,
212,WHITE,Müller Thurgau,Weingut Tiefenbrunner,FELDMARSCHALL,,2019,, 85.00 € ,,,20,,,,
220,WHITE,Grüner Veltliner,Kellerei Eisacktal,,,2023,, 39.00 € ,,,18,,,,
222,WHITE,Grüner Veltliner,Weingut Pacherhof,EISACKTAL,,2021,, 49.00 € ,,,41,,,,
,WHITE,,Weingut Pacherhof,P.G MASHED,,2016,,,,,,,,,
,WHITE,,Weingut Pacherhof,RESISTENT WEIß,,2017,,,,,,,,,
,WHITE,,Weingut Pacherhof,SAUVIGNON METEMORPHOSIA ,,2016,,,,,,,,,
230,WHITE,Sylvaner,Kellerei Eisacktal,,,2021,, 39.00 € ,,,10,,,,
232,WHITE,Sylvaner,Weingut Pacherhof,ALTE REBEN,,2017,, 55.00 € ,,,11,,,,
,WHITE,,Weingut Klosterhof,,,2007,RARITAS,,,,15,,,,
240,WHITE,Sauvignon blanc,Kellerei St. Pauls,GFILL,,2023,, 45.00 € ,,,18,,,,
,WHITE,Sauvignon blanc,Kellerei Nals-Magreid ,MANTELE, MAGNUNM ,2010,,, 105.00 € ,,,1,,,
,WHITE,Sauvignon blanc,Kellerei St. Pauls,PASSION , MAGNUNM ,2009,,, 120.00 € ,,,4,,,
,WHITE,Sauvignon blanc,Kellerei St. Pauls,PASSION , MAGNUNM ,2008,,, 120.00 € ,,,1,,,
x,WHITE,Sauvignon blanc,Weingut Castelfeder ,REIF,,2023,,,,,18,,,,
,WHITE,Sauvignon blanc,Weingut Castelfeder ,REIF,,2019,,,,,6,,,,
,WHITE,Sauvignon blanc,Weingut Falkenstein ,VINSCHGAU, MAGNUNM ,2009,,, 120.00 € ,,,2,,,
,WHITE,Sauvignon blanc,Kellerei Terlan,WINKL,,2024,,,,,1,,, 13.08 € ,
,WHITE,Sauvignon blanc,Kellerei Terlan,WINKL, MAGNUNM ,2023,,, 120.00 € ,,53,6,,,
242,WHITE,Sauvignon blanc,Kellerei Terlan,WINKL,,2022,, 53.00 € ,,,40,,,,
243,WHITE,Sauvignon blanc,Weingut Gumphof,MEDIAEVUM, (Ausgehen) ,2022,, 55.00 € ,,,0,,,,1
244,WHITE,Sauvignon blanc,Weingut Kornell,COSMAS,,2023,, 55.00 € ,,,18,,,,
,WHITE,Sauvignon blanc,Weingut Gumphof,PRAESULIS,,2021,, 55.00 € ,,,16,,,,
247,WHITE,Sauvignon blanc,Weingut Prackfolerhof,,,2022,, 55.00 € ,,,20,,,,
245,WHITE,Sauvignon blanc,Kellerei St.Michael-Eppan,ST.VALENTIN,,2023,, 60.00 € ,,,34,,, 19.70 € ,
,WHITE,Sauvignon blanc,Kellerei Schreckbichl,LAFOA,,2023,,,,,18,,,,
,WHITE,Sauvignon blanc,Kellerei Schreckbichl,LAFOA, MAGNUNM ,2008,,, 155.00 € ,,,2,,,
248,WHITE,Sauvignon blanc,Weingut Kornell,OBERBERG,,2020,, 70.00 € ,,,9,,,,
,WHITE,Sauvignon blanc,Weingut Kornell,OBERBERG,,2019,,,,,1,,,,
249,WHITE,Sauvignon blanc,Weingut Gumphof,RENNAISANCE,,2019,, 75.00 € ,,,26,,,,
,WHITE,Sauvignon blanc,Weingut Gumphof,RENNAISANCE,,2018,,,,,1,,,,
,WHITE,Sauvignon blanc,Kellerei Terlan,QUARZ,,2023,,,,,30,,, 32.62 € ,
250,WHITE,Sauvignon blanc,Kellerei Terlan,QUARZ,,2022,, 95.00 € ,,,72,,,,
,WHITE,Sauvignon blanc,Weingut Tiefenbrunner,RACHTL,,2021,,,,,6,,,,
,WHITE,Sauvignon blanc,Weingut Tiefenbrunner,RACHTL,,2019,,,,,30,,,,
251,WHITE,Sauvignon blanc,Weingut Tiefenbrunner,RACHTL,,2018,, 110.00 € ,,,32,,,,
