external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,
242,Chablis ,,,Chanson,FRA,21,€,"€ 60,00","4 ‘21, 2 ‘22",
243,Chablis Mise Tardive BIO ,,,Domaine Pattes Loup,FRA,20,€,"€ 75,00",,
244,Chablis Vielles Vignes ,,,Domaine Daniel-Etienne Defaix,FRA,20,€,"€ 70,00",5,
245,Chablis Premier Cru Vaillon,,,Domaine Daniel-Etienne Defaix,FRA,‘10,€,"€ 90,00",7,
246,Chablis Les Lys Premier Cru,,,Domaine Daniel-Etienne Defaix,FRA,,€,"€ 90,00","3 ‘04, 19 ‘05",
247,Équinoxe Viognier Sauvignon,,,Domaine Daniel-Etienne Defaix,FRA,‘22,€,"€ 33,00",,
248,Riesling Réserve ,,,Domaine Weinbach,,20,€,"€ 54,00","3’ 20, 1 ‘17",
249,Muscat Réserve,,,Domaine Weinbach,,11,€,"€ 54,00",3,
250,Pinot Blanc ,,,Domaine Weinbach,,‘20,€,"€ 40,00",5,
251,Sancerre ,,,Pascal Jolivet,,’22,€,"€ 70,00","3 ‘21, 5 ‘22",
252,Chardonnay Saint Aubin,,,Domaine Morey Coffinet,,20,€,"€ 88,00",2,
253,"Rosé ""Esprit Gassier""",,,Château Gassier,,21,€,"€ 33,00",,
254,Chablis ,,,Thomas Pico,,‘20,€,,,
255,Chardonnay Bourgogne ,,,Antoine Jobard,,‘20,€,"€ 35,00",,
256,"Puligny Montrachet Premier cru ""Les Nosroyes""",,,Genot Boulanger,,‘20,€,"€ 160,00",2,
257,"Puligny Montrachet Premier cru ""La Garenne""",,,Genot Boulanger,,‘20,€,"€ 270,00",2,
258,Les Tilles Blanc Meursault,,,Domaine Pierre Labet ,,20,€,"€ 150,00",3,
259,Chardonnay,,,Weingut Martin Wassmer,,21,€,,6,
260,,,,,,,,,,
261,"Altri vini biodinamici, biologici e naturali",,,,,,,,,
262,"Garganega ""Bucce"" Macerato ",,,Marco Mosconi,,’19-'20,€,"€ 34,00",,
263,,,,,,,,,,
264,Vini Rosati,,,,,,,,,
265,Whispering Angel,,,Caves d’Esclans,,,,,"4 ‘21, 6 ‘22",
266,Rumor Cotes de Provence,,,,,,,,,
267,Espirit Grassier,,,ed limitata,,,,,2,
268,Vini Rossi,,,,,,,,,
269,Veneto,,,,,,,,,
270,Azienda Agricola Quintarelli,,,,,,,,,
271,Valpolicella classico ,,Magnum,Azienda Agricola Quintarelli,,,€,"€ 340,00","1 ‘13, 1 ‘16",
272,Alzero,,,Azienda Agricola Quintarelli,,‘14,€,"€ 450,00",4,
273,Rosso del Bepi,,,Azienda Agricola Quintarelli,,,€,"€ 190,00","2 ‘10, 1 ‘16",
274,Rosso del Bepi ,,Magnum,Azienda Agricola Quintarelli,,‘14,€,"€ 450,00",2,
275,Amarone,,,Azienda Agricola Quintarelli,,12,€,"€ 407,00",5,
276,Amarone,,,Azienda Agricola Quintarelli,,13,€,"€ 410,00",3,
277,Amarone ,,Magnum,Azienda Agricola Quintarelli,,11,€,"€ 860,00",1,
278,Amarone  ,,Magnum,Azienda Agricola Quintarelli,,12,€,"€ 890,00",2,
279,Monteversa,,,,,,,,,
280,Rosso Bio Animaversa,,,Monteversa,,,€,"€ 45,00","1 ‘15, 9 ‘16",
281,Rosso Bio Animaversa ,,Magnum,Monteversa,,‘15,€,"€ 90,00",,
282,Rosso Bio Versacinto,,,Monteversa,,19,€,"€ 25,00",5,
283,Bonotto Delle Tezze,,,,,,,,,
284,Carmenere Barbane,,,Bonotto Delle Tezze,,‘20,€,"€ 21,00",6,
285,Malanotte,,,Bonotto Delle Tezze,,15,€,"€ 48,00",1,
286,Raboso,,,Bonotto Delle Tezze,,‘16,€,"€ 30,00",1,
287,Raboso,,,Bonotto Delle Tezze,,19,€,"€ 30,00",6,
288,Raboso,,,Bonotto Delle Tezze,,17,€,"€ 30,00",12,
289,Loredan e Gasparini,,,,,,,,,
290,Falconera ,,Magnum,Loredan Gasparini,,16,,,1,
291,Venegazzù della Casa,,,Loredan e Gasparini,,‘18,€,"€ 48,00","4 ‘18, 24 ‘19",
292,Venegazzù della Casa,,Magnum,Loredan e Gasparini,,18,€,"€ 100,00",4,
293,Venegazzù Capo di Stato,,,Loredan e Gasparini,,18,€,"€ 80,00",8,
294,Venegazzù Capo di Stato ,,Magnum,Loredan e Gasparini,,17,€,"€ 180,00",1,
295,Venegazzù Capo di Stato ,,Magnum,Loredan e Gasparini,,18,€,"€ 180,00",3,
296,Venegazzù Capo di Stato ,,Jéroboam,Loredan e Gasparini,,12,€,"€ 260,00",1,
297,Venegazzù Capo di Stato ,,Jéroboam,Loredan e Gasparini,,13,€,"€ 250,00",1,
298,Venegazzù Capo di Stato ,,Jéroboam,Loredan e Gasparini,,15,€,"€ 240,00",1,
299,Serafini Vidotto,,,,,,,,,
300,Rosso Phigaia,,,Serafini Vidotto,,,€,"€ 45,00","1 ‘20, 12 ‘21",
301,Rosso Phigaia Magnum,,Magnum,Serafini Vidotto,,20,€,"€ 90,00",1,
302,Rosso dell’Abbazia,,,Serafini Vidotto,,17,€,"€ 60,00","2 ‘17, 2 ‘18",
303,Brigaldara,,,,,,,,,
304,Valpolicella Superiore Il Vegro (Ripassa),,,Brigaldara,,‘20,€,"€ 36,00",10,
305,Valpolicella Superiore Il Vegro (Ripassa) ,,Magnum,Brigaldara,,‘19,€,"€ 80,00",2,
306,Amarone della Valpolicella Classico,,,Brigaldara,,18,€,"€ 58,00",23,
307,Amarone della Valpolicella Classico ,,Magnum,Brigaldara,,17,€,"€ 130,00",1,
308,Amarone della Valpolicella Case Vecie ,,Magnum,Brigaldara,,19,€,"€ 120,00",,
309,Amarone della Valpolicella Case Vecie,,,Brigaldara,,‘17,€,"€ 65,00",3,
310,Valpolicella Superiore Case Vecie,,,Brigaldara,,‘21,€,"€ 35,00",12,
311,Valpolicella Superiore Case Vecie ,,Magnum,Brigaldara,,19,,,2,
312,Mosole,,,,,,,,,
313,Cabernet Hora Sexta,,,Mosole,,15,€,"€ 35,00",1,
314,Merlot Ad Nonam,,,Mosole,,16,€,"€ 52,00",7,
315,Lorenzo Begali,,,,,,,,,
316,Amarone Cru Monte Ca’Bianca ,,Magnum,Lorenzo Begali,,‘06,€,"€ 140,00",1,
317,Amarone Cru Monte Ca’Bianca,,Magnum,Lorenzo Begali,,13,€,"€ 150,00",2,
318,Zenato,,,,,,,,,
319,Valpolicella superiore ripassa,,,Zenato,,,€,"€ 52,00","1 ‘18, 19‘19",
320,Valpolicella superiore ripassa ,,Magnum,Zenato,,19,€,"€ 110,00",1,
321,Amarone della Valpolicella,,,Zenato,,18,€,"€ 64,00",8,
322,Amarone della Valpolicella,,Magnum,Zenato,,18,,,3,
323,Allegrini,,,,,,,,,
324,Corvina Veronese La Poja,,,Allegrini,,,€,"€ 180,00","8 ‘17, 5 ‘18",
325,Amarone,,,Allegrini,,17,€,"€ 100,00",,
326,Amarone,,,Allegrini,,‘18,€,"€ 100,00",,
327,Amarone Corte Giara,,,Allegrini,,’17 ’19 ‘20,€,"€ 66,00",,
328,Veronese Palazzo della Torre,,,Allegrini,,,€,"€ 39,00","1 ‘18, 1 ‘19, 21 ‘20",
329,Veronese Palazzo della Torre ,,Magnum,Allegrini,,20,€,"€ 75,00",2,
330,Veronese Palazzo della Torre ,,Jéroboam,Allegrini,,‘10,€,"€ 140,00",1,
331,La Grola Rosso Veronese,,,Allegrini,,18,€,"€ 55,00","3 ‘18, 4’19",
332,Le Salette,,,,,,,,,
333,Valpolicella,,,Le Salette,,22,€,"€ 24,00",16,
334,Valpolicella Superiore Ripasso “I Progni”,,,Le Salette,,20,€,"€ 39,00",11,
335,Amarone la Marega,,,Le Salette,,16,€,"€ 80,00",5,
