external_id,name,winery,vintage,size,eur_sales_price,qty
313,Montepulciano Jarno Rosso 2015,Castorani Colline Pescaresi,2015,BOTTLE,61,6
314,Nero d’Avola Dieci Inverni 2012,Castorani Colline Pescaresi,2012,BOTTLE,149,0
315,Pic Chablis 1er Cru,Domaine Régnard,2017,BOTTLE,140,1
316,Pic Chablis 1er Cru,Domaine Régnard,2012,BOTTLE,162,1
317,Chablis Vieilles Vigne 2020,Domaine Gautheron Alain et Cyril,2020,BOTTLE,54,2
318,Chablis Grand Cru Vaudésir 2019,Domaine Besson,2019,BOTTLE,75,1
319,Sancerre Blanc 'Clos Paradis' 2022,Domaine Fouassier,2022,BOTTLE,48,2
320,Sous le Puits Puligny-Montrachet 1er Cru 2019,Maison Louis Latour,2019,BOTTLE,nan,1
321,Sous le Puits Puligny-Montrachet 1er Cru 2019,Maison Louis Latour,2022,BOTTLE,145,1
322,Sous le Puits Puligny-Montrachet 1er Cru 2019,Maison Louis Latour,2018,BOTTLE,165,1
323,Blanc de Lynch-Bages 2018 ,Château Lynch-Bages,2018,BOTTLE,125,2
324,Alter Ego de Palmer 2020 ,Château Palmer,2020,BOTTLE,153,3
325,Les Vieilles Vignes 2017 ,Domaine de Villeneuve,2017,BOTTLE,81,3
326,Ried Zieregg Sauvignon Blanc 2020,Weingut Tement,2020,BOTTLE,75,2
327,Leutschacher Sauvignon Blanc 2020 Weingut,Erwin Sabathi,2020,BOTTLE,37,15
328,Riesling Rotschiefer „1000 Alte Reben“ 2019,Weingut Sorentberg und Castelfeder,2019,BOTTLE,98,1
329,Gottesfuß Alte Reben Riesling 2022,Weingut Van Volxem,2022,BOTTLE,69,1
330,Riesling Trocken 2021,Weingut Fritz Haag,2021,BOTTLE,29,2
331,Fläscher Pinot Noir Uris 2020,Weingut Davaz,2020,BOTTLE,89,2
332,"CR 1 Redstone Reserve I CS, COT",Capelands Estate,2016,BOTTLE,69,3
333,"CR 1 Redstone Reserve I CS, COT",Capelands Estate,2015,BOTTLE,79,4
