"type","name","qty","eur_sales_price","eur_purchase_price"
"WHITE","Cuvée Aichberg 2021 (WB/CH/SV) Kornell Terlan ",1.00,46.00 €,46.00 €
"WHITE","Cuvée Giovo 2019 (CH/Solaris) Bergkellerei Passeier",4.00,55.00 €,220.00 €
"WHITE","Cuvée Weisswein 2016 (WB/GB/SV/R) Ansitz Dolomythos Ritten ",5.00,60.00 €,300.00 €
"WHITE","Cuvée Die Perle 2005 Ansitz Dolomythos Ritten",2.00,115.00 €,230.00 €
"WHITE","Cuvée Aios 2000 Fass 04 Ansitz Dolomythos ",1.00,140.00 €,140.00 €
"WHITE","Cuvée Aios 2000 Fass 57 Ansitz Dolomythos ",1.00,140.00 €,140.00 €
"WHITE","Cuvée Nova Domus 2019 (WB/CH/SV) Kellerei Terlan ",2.00,65.00 €,130.00 €
"WHITE","Cuvée Nova Domus 2018 (WB/CH/SV) Kellerei Terlan ",1.00,65.00 €,65.00 €
"WHITE","Cuvée Nova Domus 2020 (WB/CH/SV) Kellerei Terlan MAGNUM",1.00,130.00 €,130.00 €
"WHITE","Rosé La Rosé 2020 Manincor Kalterer See",6.00,38.00 €,228.00 €
"WHITE","Rosé Mitterberg 2020 Luis Auer",1.00,40.00 €,40.00 €
"WHITE","Sauvignon Blanc Zieregg 2018 Tement Südsteiermark, Österreich",1.00,95.00 €,95.00 €
"WHITE","Grüner Veltliner Ried Berg Vogelsang 2019 Bründelmayer Kamptal, Österreich",2.00,39.00 €,78.00 €
"WHITE","Chardonnay Reserve Santa Cruz Mountains 2016 Mount Eden, Kalifornien ",2.00,150.00 €,300.00 €
"WHITE","Gewürztraminer Galilee 2021 Yarden Golan Heights Winery, Israel",3.00,45.00 €,135.00 €
"WHITE","Assyrtiko Ftelos 2017 Artemis Karamolegos Santorini, Griechenland ",1.00,125.00 €,125.00 €
"WHITE","Viura 2014 Vina Tondonia Rioja, Spanien ",3.00,61.00 €,183.00 €
"WHITE","Viura 2013 Vina Tondonia Rioja, Spanien ",3.00,61.00 €,183.00 €
"WHITE","Viura 2012 Vina Tondonia Rioja, Spanien ",2.00,61.00 €,122.00 €
