external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_inclvat
,RED,Lagrein doc ,Terlan,,BOTTLE,2023,3500,1065,1,bar000,,True, 13 € 
,RED,Monticol Pinot Nero ,Terlan,,BOTTLE,2021,6500,2049,10,tav11+bar000,,True, 25 € 
,RED,Monticol Pinot Nero ,Terlan,,BOTTLE,2022,6500,2049,5,tav11,,True, 25 € 
,RED,Pinot Noir Tradition ,Terlan,,BOTTLE,2023,4000,1229,14,tav11+bar000,,True, 15 € 
,RED,Siebenich - Merlot Riserva,Terlan,,BOTTLE,2017,0,0,2,tav11,,True,0
,RED,Siebenich - Merlot Riserva,Terlan,,BOTTLE,2019,5000,1557,4,tav11,,True, 19 € 
,RED,Siebenich - Merlot Riserva,Terlan,,BOTTLE,2020,5000,0,6,tav11+bar000,,True,0
,RED,Torilan Merlot E Cabernet,Terlan,,BOTTLE,2021,3500,1065,6,tav11+bar000,,True, 13 € 
,RED,Torilan Merlot E Cabernet,Terlan,,BOTTLE,2022,3500,1147,7,tav11,,True, 14 € 
,RED,Refosco (Regalo) e Rosso,Tonut,,BOTTLE,0,0,81,3,sarpi terra,,True, 1 € 
,RED,Montepulciano d'Abruzzo,Torre dei Beati,,BOTTLE,2016,0,81,1,bar010,,True, 1 € 
,RED,Marjun Pinot Nero Riserva ,Tramin,,BOTTLE,2022,3500,1065,19,tav11+bar001,,True, 13 € 
,RED,Rungg Merlot + Cabernet doc,Tramin,,BOTTLE,2017,4500,1065,2,bar001,,True, 13 € 
,RED,Rungg Merlot + Cabernet doc,Tramin,,BOTTLE,2020,4000,1065,5,bar001+tav11,,True, 13 € 
,RED,Urban Lagrein Riserva,Tramin,,BOTTLE,2020,5500,2131,5,tav11,,True, 26 € 
,RED,Gattinara Riserva,Travaglini,,BOTTLE,2018,0,81,1,Collezione,,True, 1 € 
,RED,Rosso Riserva,Vignalta Colli Euganei,,BOTTLE,2017,3000,901,2,bar005,,True, 11 € 
,RED,Purple Haze Igp Paestum Aglianico,Viticoltori De Conciliis,,BOTTLE,2016,3000,1065,2,bar009,Fornitore: Area 6 srl,True, 13 € 
,RED,Red,Viticoltori De Conciliis,,BOTTLE,2018,0,0,1,tav10-top,,True,0
,RED,Pignolo,Zorzettig,,BOTTLE,2016,4800,1311,5,s2+bar007,,True, 16 € 
,RED,Refosco Myo,Zorzettig,,BOTTLE,2019,4000,1065,18,s2+bar007,,True, 13 € 
,RED,Schioppettino Myo,Zorzettig,,BOTTLE,2019,4000,1229,9,s2+bar007,,True, 15 € 
,DESSERT,Muffato della Sala,Antinori ,,BOTTLE,2022,6400,2213,8,tav10+cartone a lato tav10,,True, 27 € 
,DESSERT,Santon Bianco (Vermout),Borgo San Daniele,,BOTTLE,0,0,1885,2,totem,,True, 23 € 
,DESSERT,Brachetto d'Aqui,Braida,,BOTTLE,2019,2500,491,2,s4+bar003,Fornitore: TOLM,True, 6 € 
,DESSERT,Brachetto d'Aqui,Braida,,BOTTLE,2021,2500,491,5,s4+bar003,Fornitore: TOLM,True, 6 € 
,DESSERT,Ramandolo,Bressani,,BOTTLE,2019,0,1147,1,tav10,,True, 14 € 
,DESSERT,Ramandolo,Bressani,,BOTTLE,2020,4000,1147,6,tav10,,True, 14 € 
