name,size,vintage,price
"Primitivo di Manduria ""Rosso di Vespa” Bruno Vespa",,2021,3200
"Primitivo di Manduria “Raccontami"" Bruno Vespa",,2019,6000
Harmonium (Nero d'Avola) Firriato,,2018,4900
Reseca (Nerello mascalese) Gulfi,,2015,5100
Pino' (Pinot nero) Gulfi,,2015,11500
Etna Rosso Munjebel Frank Cornlissen,,2021,7700
Syrah Maroccoli Planeta,,2018,6000
Santa Cecilia (Nero d'avola) Planeta,,2018,6000
Terre Brune (Carignano del Sulcis) Santadi,,2018,9500
Turriga (Cannonau-Carignano) Argiolas,,2018,15000
Bourgogne Terres de Famille Domaine de la Vougeraie,,2020,6800
Bourgogne Hautes Cotes De Beaune Domaine Lucien Jacob,,2019,9500
Volnay 1er Cru Robardelle Reyane & Pascal Bouley,,2019,11500
Pommard Reyane & Pascal Bouley,,2019,11500
Pommard Chanson,,2021,13000
Nuits-Saint-Georges Chanson,,2017,11200
Nuits-Saint-Georges Aurelien Verdet,,2019,14000
Morey Saint Denis Aurelien Verdet,,2019,16000
Volnay 1er Cru Fremiets Marchand Tawse,,2018,21000
Le Corton Grand Cru Bouchard,,2016,37500
Bonnes Mares Grand Cru Lucien de Moine,,2015,83000
Nuits St. Georges 1er Cru Domaine Des Perdrix,,2013,25000
Chorey les Beaune LeRoy,,1999,1.7
Vacqueyras Le Village Montirius,,2020,5000
Chateauneuf-du-Pape Clos de L'oratoire,,2020,12000
Cote-Rotie' Domanie Burgaud,,2017,17000
Chateau Clarke Edmond de Rothschild,,2012,7500
Boidron St-Georges St-Emilion Chateau Calon,,2010,6000
Chateau La Roque Famille Beaumartin,,2017,9000
Malbec Alta Vista,,2020,4600
Merlot Castello di Buttrio,,2019,12000
Merlot Vistorta Conte Brandolini,,2013,13000
Braida Nuova Borgo Conventi,,2013,8700
"Valpolicella “Ripasso” Palazzo delle Torre"" Allegrini",,2019,10000
Valpolicella Ripasso Zenato,,2018,12500
Venegazzù della Casa Loredan Gasparini,,2018,11000
Venegazzù Capo di Stato Loredan Gasparini,,2016,24000
Amarone della Valpolicella Allegrini,,2017,27000
Amarone Costasera Riserva Masi,,2016,37000
